entity_id,relation,value
m/hot_tub_time_machine,is,luxurious
m/terminator,is,propulsive
m/hot_tub_time_machine,is,alternative
m/hot_tub_time_machine,features the theme,a compliment
m/terminator,is,paced
m/demolition_man,features the theme,explosives
m/spaceballs,features the theme,the moon
m/terminator,features the person,Sc
m/hot_tub_time_machine,features the person,John Hughes
m/demolition_man,features the theme,ice
m/terminator,features the theme,a nightmare
m/terminator,is,functional
m/hot_tub_time_machine,features the theme,a twist
m/dumb_and_dumber,features the theme,dogs
m/hot_tub_time_machine,features the person,Kelly
m/hot_tub_time_machine,is,crappy
m/hot_tub_time_machine,features the theme,their families
m/hot_tub_time_machine,features the theme,nudity
m/dumb_and_dumber,features the theme,coffee
m/hot_tub_time_machine,features the miscellaneous theme,L
m/dumb_and_dumber,features the theme,the van
m/terminator,is,unstoppable
m/hot_tub_time_machine,features the theme,starts
m/hot_tub_time_machine,features the theme,structure
m/demolition_man,features the theme,gunfire
m/terminator,features the theme,gunfire
m/hot_tub_time_machine,features the theme,cast
m/hot_tub_time_machine,features the theme,hearts
m/hot_tub_time_machine,features the theme,the guys
m/terminator,features the theme,victory
m/demolition_man,features the theme,the prison
m/demolition_man,is,bodily
m/dumb_and_dumber,is,bodily
m/hot_tub_time_machine,is,screwball
m/hot_tub_time_machine,is,unhinged
m/terminator,features the theme,sci-fi
m/spaceballs,is,villainous
m/dumb_and_dumber,features the theme,the funniest
m/terminator,features the theme,celluloid
m/terminator,is,delusional
m/hot_tub_time_machine,features the theme,star power
m/hot_tub_time_machine,features the person,Adam
m/hot_tub_time_machine,features the person,Duke
m/hot_tub_time_machine,features the person,Paul Chambers
m/hot_tub_time_machine,features the theme,fits
m/hot_tub_time_machine,is,cryptic
m/terminator,is,cryptic
m/hot_tub_time_machine,features the theme,the screenwriters
m/hot_tub_time_machine,is,inescapable
m/hot_tub_time_machine,features the theme,so much fun
m/demolition_man,features the theme,the opening credits
m/hot_tub_time_machine,features the theme,adam
m/hot_tub_time_machine,features the theme,memories
m/hot_tub_time_machine,features the organization,HBO
m/dumb_and_dumber,features the theme,chuckles
m/hot_tub_time_machine,features the theme,chuckles
m/demolition_man,features the theme,eye candy
m/hot_tub_time_machine,features the person,Jenny
m/dumb_and_dumber,features the theme,a motel
m/hot_tub_time_machine,features the theme,goofy
m/spaceballs,features the theme,a cave
m/spaceballs,features the theme,fuel
m/hot_tub_time_machine,is,forgivable
m/terminator,features the miscellaneous theme,The Matrix
m/hot_tub_time_machine,features the theme,a reminder
m/hot_tub_time_machine,features the theme,a waste of time
m/hot_tub_time_machine,is,kinky
m/dumb_and_dumber,is,quotable
m/spaceballs,features the theme,a diner
m/terminator,features the theme,doom
m/hot_tub_time_machine,features the theme,the last moment
m/demolition_man,features the organization,LAPD
m/demolition_man,features the theme,ground
m/hot_tub_time_machine,is,homosexual
m/hot_tub_time_machine,features the theme,hair
m/terminator,is,meditative
m/spaceballs,is,silliest
m/terminator,features the theme,a compelling story
m/hot_tub_time_machine,features the theme,the satire
m/hot_tub_time_machine,features the theme,grownups
m/terminator,features the theme,emotional resonance
m/hot_tub_time_machine,is,insignificant
m/hot_tub_time_machine,is,oversized
m/hot_tub_time_machine,is,acid
m/terminator,is,audio
m/terminator,features the theme,the gut
m/hot_tub_time_machine,features the theme,closure
m/dumb_and_dumber,is,peerless
m/demolition_man,features the theme,the information
m/hot_tub_time_machine,features the theme,jenny
m/hot_tub_time_machine,is,alert
m/dumb_and_dumber,features the theme,a gas station
m/terminator,features the theme,a gas station
m/dumb_and_dumber,features the theme,the toilet
m/hot_tub_time_machine,features the miscellaneous theme,F
m/demolition_man,features the theme,human behavior
m/dumb_and_dumber,features the theme,the filmmaking
m/hot_tub_time_machine,is,reclusive
m/demolition_man,features the theme,cheap thrills
m/terminator,features the person,Kyle
m/hot_tub_time_machine,is,smutty
m/demolition_man,features the theme,his escape
m/hot_tub_time_machine,is,brawny
m/hot_tub_time_machine,is,oral
m/demolition_man,features the person,Stallone
m/hot_tub_time_machine,is,star
m/spaceballs,features the person,Brooks
m/hot_tub_time_machine,features the theme,pratfalls
m/spaceballs,features the theme,pratfalls
m/hot_tub_time_machine,is,laced
m/hot_tub_time_machine,features the theme,the friends
m/hot_tub_time_machine,is,lewd
m/dumb_and_dumber,features the location,Colorado
m/demolition_man,features the theme,his behavior
m/hot_tub_time_machine,features the theme,the chemistry
m/dumb_and_dumber,features the theme,country
m/hot_tub_time_machine,features the theme,players
m/demolition_man,is,brutish
m/dumb_and_dumber,features the theme,best friends
m/spaceballs,features the theme,more money
m/terminator,features the person,Arnold
m/spaceballs,features the person,George Lucas
m/spaceballs,features the person,Mel Brooks
m/hot_tub_time_machine,features the theme,advertising
m/dumb_and_dumber,features the person,Jerry Lewis
m/terminator,features the person,Arnold Schwarzenegger
m/spaceballs,features the theme,the wit
m/terminator,is,external
m/hot_tub_time_machine,features the theme,boy
m/demolition_man,features the theme,action fans
m/hot_tub_time_machine,features the theme,roll
m/hot_tub_time_machine,features the miscellaneous theme,The Hangover
m/terminator,features the theme,victims
m/hot_tub_time_machine,features the theme,a hole
m/hot_tub_time_machine,features the person,Lou
m/spaceballs,is,wildest
m/terminator,features the theme,fortune
m/dumb_and_dumber,is,strapped
m/demolition_man,is,psychopathic
m/dumb_and_dumber,is,lowbrow
m/hot_tub_time_machine,is,lowbrow
m/hot_tub_time_machine,features the theme,no masterpiece
m/hot_tub_time_machine,is,unrepentant
m/hot_tub_time_machine,features the theme,notice
m/terminator,features the person,James Cameron
m/hot_tub_time_machine,features the theme,spite of itself
m/hot_tub_time_machine,features the theme,our heroes
m/demolition_man,features the person,Sandra Bullock
m/hot_tub_time_machine,is,ubiquitous
m/dumb_and_dumber,features the theme,comic timing
m/hot_tub_time_machine,features the theme,hatred
m/demolition_man,features the theme,the threat
m/hot_tub_time_machine,is,edgier
m/dumb_and_dumber,features the theme,vulgarity
m/dumb_and_dumber,features the theme,its purpose
m/dumb_and_dumber,features the theme,the funny bone
m/hot_tub_time_machine,is,caring
m/hot_tub_time_machine,features the theme,goodwill
m/dumb_and_dumber,features the theme,the kidnappers
m/demolition_man,features the theme,the noise
m/terminator,features the miscellaneous theme,Aliens
m/hot_tub_time_machine,is,wonky
m/hot_tub_time_machine,features the theme,a right
m/hot_tub_time_machine,features the person,Jacob
m/hot_tub_time_machine,features the miscellaneous theme,Reagan
m/terminator,features the miscellaneous theme,Terminator
m/dumb_and_dumber,features the theme,cross
m/dumb_and_dumber,features the person,Farrelly
m/terminator,features the person,Schwarzenegger
m/demolition_man,features the miscellaneous theme,Man
m/dumb_and_dumber,features the person,Jim Carrey
m/terminator,features the theme,good reason
m/demolition_man,features the person,Sylvester Stallone
m/demolition_man,features the theme,windows
m/hot_tub_time_machine,features the theme,the emphasis
m/terminator,features the theme,the near future
m/terminator,is,concentrated
m/spaceballs,features the theme,star wars
m/dumb_and_dumber,is,kidnapped
m/dumb_and_dumber,features the theme,ignorance
m/hot_tub_time_machine,is,halfhearted
m/terminator,is,unborn
m/dumb_and_dumber,features the theme,the max
m/hot_tub_time_machine,features the person,Cusack
m/demolition_man,features the theme,hostages
m/terminator,features the theme,a police car
m/demolition_man,is,untouched
m/terminator,features the theme,some level
m/hot_tub_time_machine,features the miscellaneous theme,Eighties
m/terminator,features the person,Te
m/hot_tub_time_machine,features the theme,mail
m/demolition_man,features the theme,the police force
m/demolition_man,features the theme,bonkers
m/dumb_and_dumber,features the theme,the slapstick
m/terminator,features the theme,the production design
m/spaceballs,features the theme,an alien
m/hot_tub_time_machine,features the person,Robinson
m/hot_tub_time_machine,features the person,John Cusack
m/hot_tub_time_machine,features the person,Po
m/hot_tub_time_machine,features the theme,the final scenes
m/demolition_man,features the theme,the hostages
m/hot_tub_time_machine,features the theme,jacob
m/demolition_man,features the theme,the food
m/hot_tub_time_machine,features the theme,mileage
m/terminator,features the theme,his motorcycle
m/spaceballs,features the theme,the code
m/terminator,features the person,rzenegger
m/demolition_man,features the theme,product placement
m/hot_tub_time_machine,features the theme,an idiot
m/hot_tub_time_machine,features the theme,genuine laughs
m/demolition_man,features the theme,in-jokes
m/terminator,features the theme,hire
m/hot_tub_time_machine,features the theme,indifference
m/demolition_man,features the theme,a museum
m/terminator,features the theme,machines
m/hot_tub_time_machine,is,unlocked
m/demolition_man,features the theme,crashes
m/terminator,features the theme,every respect
m/dumb_and_dumber,is,laughless
m/hot_tub_time_machine,features the theme,his band
m/dumb_and_dumber,is,indicative
m/terminator,features the person,Cameron
m/hot_tub_time_machine,features the theme,some big laughs
m/spaceballs,features the theme,some big laughs
m/hot_tub_time_machine,features the miscellaneous theme,Groundhog Day
m/terminator,is,inauthentic
m/dumb_and_dumber,features the theme,a fine film
m/hot_tub_time_machine,features the theme,the hangover
m/hot_tub_time_machine,features the theme,multiple levels
m/spaceballs,is,sparkly
m/hot_tub_time_machine,is,aggravating
m/dumb_and_dumber,is,execrable
m/spaceballs,features the theme,pizza
m/hot_tub_time_machine,features the person,Michael Jackson
m/hot_tub_time_machine,features the theme,a time machine
m/terminator,features the theme,another car
m/hot_tub_time_machine,features the theme,memory lane
m/spaceballs,is,diminutive
m/hot_tub_time_machine,features the miscellaneous theme,Hangover
m/dumb_and_dumber,features the theme,dumb
m/dumb_and_dumber,features the miscellaneous theme,Du
m/spaceballs,features the theme,all these years
m/dumb_and_dumber,features the person,Lloyd
m/hot_tub_time_machine,is,wry
m/dumb_and_dumber,is,abominable
m/spaceballs,features the organization,V
m/hot_tub_time_machine,features the theme,high concept
m/hot_tub_time_machine,features the person,Chevy Chase
m/demolition_man,is,subliminal
m/hot_tub_time_machine,features the theme,the resort
m/dumb_and_dumber,features the theme,a bulletproof vest
m/hot_tub_time_machine,features the theme,an actual movie
m/demolition_man,features the location,San Diego
m/terminator,is,lo
m/terminator,features the theme,the flesh
m/hot_tub_time_machine,features the theme,a trifle
m/hot_tub_time_machine,features the theme,the passage of time
m/hot_tub_time_machine,features the theme,the '
m/spaceballs,is,arranged
m/hot_tub_time_machine,features the theme,et al
m/demolition_man,features the theme,the warden
m/dumb_and_dumber,features the theme,a briefcase
m/spaceballs,is,untimely
m/hot_tub_time_machine,features the theme,their youth
m/demolition_man,is,unauthorized
m/hot_tub_time_machine,is,cocked
m/terminator,is,austrian
m/hot_tub_time_machine,is,venal
m/hot_tub_time_machine,is,formative
m/hot_tub_time_machine,features the theme,sci-fi fans
m/hot_tub_time_machine,features the theme,another era
m/demolition_man,features the person,Phoenix
m/hot_tub_time_machine,features the theme,regrets
m/spaceballs,is,eligible
m/demolition_man,features the theme,firearms
m/terminator,features the theme,a motorcycle
m/hot_tub_time_machine,features the miscellaneous theme,Back to the Future
m/hot_tub_time_machine,features the theme,most moviegoers
m/dumb_and_dumber,features the theme,an art form
m/hot_tub_time_machine,is,lite
m/terminator,features the miscellaneous theme,Austrian
m/hot_tub_time_machine,is,naff
m/hot_tub_time_machine,features the theme,familiar faces
m/dumb_and_dumber,is,maior
m/dumb_and_dumber,is,complementary
m/terminator,is,cartoony
m/terminator,is,pc
m/hot_tub_time_machine,features the miscellaneous theme,Miami Vice
m/dumb_and_dumber,features the person,Farrellys
m/dumb_and_dumber,features the person,Carrey
m/dumb_and_dumber,features the theme,a true original
m/demolition_man,features the theme,the rubble
m/dumb_and_dumber,features the theme,the briefcase
m/demolition_man,features the theme,fireballs
m/terminator,features the theme,the sci-fi genre
m/hot_tub_time_machine,features the theme,machine
m/terminator,features the theme,the resistance
m/terminator,features the theme,a monster movie
m/dumb_and_dumber,features the theme,that score
m/terminator,features the miscellaneous theme,The Terminator
m/dumb_and_dumber,is,toothed
m/demolition_man,features the theme,their cause
m/hot_tub_time_machine,features the theme,its humour
m/hot_tub_time_machine,features the theme,arrested development
m/dumb_and_dumber,features the location,Nebraska
m/demolition_man,features the theme,any measure
m/hot_tub_time_machine,features the theme,travel
m/dumb_and_dumber,features the person,Jeff Daniels
m/hot_tub_time_machine,features the theme,an evening
m/hot_tub_time_machine,features the theme,out-loud
m/demolition_man,features the theme,the police chief
m/hot_tub_time_machine,is,homophobic
m/demolition_man,features the theme,manslaughter
m/hot_tub_time_machine,features the theme,bad behavior
m/spaceballs,features the theme,bad jokes
m/hot_tub_time_machine,features the theme,groundhog day
m/hot_tub_time_machine,features the person,Glover
m/demolition_man,is,taboo
m/dumb_and_dumber,features the theme,lloyd
m/terminator,features the theme,necessity
m/spaceballs,is,gravitational
m/terminator,features the theme,a breath
m/demolition_man,is,spartan
m/terminator,features the theme,the ensuing chase
m/spaceballs,features the theme,a prince
m/hot_tub_time_machine,features the theme,the rooftop
m/dumb_and_dumber,features the theme,the ransom money
m/dumb_and_dumber,features the theme,nicholas
m/spaceballs,features the theme,her wedding
m/hot_tub_time_machine,features the theme,the best parts
m/demolition_man,features the theme,action-adventure
m/terminator,is,heedless
m/hot_tub_time_machine,features the theme,sex jokes
m/dumb_and_dumber,features the theme,dumber
m/hot_tub_time_machine,features the miscellaneous theme,Gen X
m/hot_tub_time_machine,features the theme,80s
m/hot_tub_time_machine,features the theme,the lion
m/hot_tub_time_machine,features the theme,what the hell
m/hot_tub_time_machine,features the theme,cusack
m/hot_tub_time_machine,is,disorderly
m/terminator,features the theme,a pickup truck
m/demolition_man,features the person,Snipes
m/spaceballs,features the theme,his allies
m/hot_tub_time_machine,features the theme,their experiences
m/terminator,features the theme,the film's flaws
m/dumb_and_dumber,features the miscellaneous theme,Dumb and Dumber
m/hot_tub_time_machine,features the theme,wry
m/dumb_and_dumber,features the theme,the crooks
m/hot_tub_time_machine,features the person,Sarah Palin
m/spaceballs,features the theme,decline
m/hot_tub_time_machine,features the theme,the tub
m/terminator,features the theme,grabs
m/terminator,features the miscellaneous theme,PC
m/demolition_man,features the theme,bodily fluids
m/hot_tub_time_machine,features the theme,a very funny movie
m/terminator,features the theme,a parking lot
m/hot_tub_time_machine,features the miscellaneous theme,Anchorman
m/hot_tub_time_machine,features the theme,robinson
m/spaceballs,features the theme,plain sight
m/hot_tub_time_machine,features the theme,feet
m/dumb_and_dumber,features the location,Rhode Island
m/demolition_man,features the theme,phoenix
m/terminator,features the theme,telephone
m/terminator,features the theme,the surreal
m/demolition_man,features the person,Wesley Snipes
m/dumb_and_dumber,features the theme,its influences
m/hot_tub_time_machine,features the theme,his destiny
m/hot_tub_time_machine,features the theme,gay jokes
m/hot_tub_time_machine,features the theme,the whole point
m/spaceballs,features the person,Roland
m/hot_tub_time_machine,features the theme,ode
m/demolition_man,features the theme,an abandoned building
m/hot_tub_time_machine,features the theme,foul language
m/terminator,is,cyberpunk
m/hot_tub_time_machine,is,justifiable
m/hot_tub_time_machine,features the theme,a lead
m/hot_tub_time_machine,features the theme,grown men
m/dumb_and_dumber,features the theme,the-year
m/hot_tub_time_machine,features the person,Pink
m/hot_tub_time_machine,features the theme,velocity
m/terminator,is,indiscriminate
m/terminator,features the miscellaneous theme,The Road Warrior
m/hot_tub_time_machine,features the theme,sense of it
m/hot_tub_time_machine,features the miscellaneous theme,Gen-X
m/terminator,features the theme,both movies
m/hot_tub_time_machine,features the theme,only time
m/demolition_man,features the theme,his share
m/terminator,is,blazing
m/demolition_man,features the theme,sexual intercourse
m/dumb_and_dumber,features the theme,his medication
m/demolition_man,features the theme,kissing
m/hot_tub_time_machine,features the theme,genuine warmth
m/demolition_man,features the miscellaneous theme,De
m/dumb_and_dumber,features the miscellaneous theme,Three Stooges
m/dumb_and_dumber,features the theme,a hitchhiker
m/spaceballs,features the theme,crash-land
m/hot_tub_time_machine,features the theme,its absurdity
m/hot_tub_time_machine,features the theme,truth in advertising
m/dumb_and_dumber,features the theme,the terminal
m/spaceballs,features the person,Yo
m/hot_tub_time_machine,features the theme,riot
m/hot_tub_time_machine,features the theme,its trailers
m/terminator,features the theme,the road warrior
m/spaceballs,features the organization,Force
m/hot_tub_time_machine,features the theme,a good father
m/dumb_and_dumber,is,abdominal
m/spaceballs,features the theme,their captors
m/hot_tub_time_machine,features the organization,Hollywood
m/demolition_man,is,cryogenic
m/spaceballs,features the theme,valium
m/demolition_man,features the theme,security cameras
m/terminator,features the theme,machinery
m/terminator,is,proactive
m/hot_tub_time_machine,features the theme,the vortex
m/spaceballs,features the theme,the button
m/demolition_man,is,thermal
m/terminator,features the organization,Resistance
m/spaceballs,features the theme,the escapees
m/terminator,features the theme,the movie's strength
m/hot_tub_time_machine,features the theme,carbon monoxide poisoning
m/hot_tub_time_machine,features the theme,the saying
m/hot_tub_time_machine,features the theme,glover
m/demolition_man,features the theme,human hands
m/dumb_and_dumber,features the theme,serious consideration
m/spaceballs,features the theme,their own right
m/hot_tub_time_machine,features the miscellaneous theme,Funny People
m/spaceballs,is,narcoleptic
m/hot_tub_time_machine,features the theme,their breakup
m/terminator,is,christmas
m/hot_tub_time_machine,features the miscellaneous theme,Su
m/hot_tub_time_machine,features the miscellaneous theme,Snakes on a Plane
m/dumb_and_dumber,features the theme,a wrong turn
m/spaceballs,features the person,Ain
m/hot_tub_time_machine,features the miscellaneous theme,Wild Hogs
m/spaceballs,features the theme,this task
m/hot_tub_time_machine,features the theme,penis jokes
m/hot_tub_time_machine,features the theme,all the rage
m/hot_tub_time_machine,features the theme,character arcs
m/terminator,is,pickup
m/spaceballs,is,da
m/demolition_man,features the theme,everything he got
m/dumb_and_dumber,features the theme,all the odds
m/hot_tub_time_machine,is,advertised
m/hot_tub_time_machine,features the theme,the phenomenon
m/hot_tub_time_machine,features the theme,the best bits
m/spaceballs,features the theme,an astronaut
m/spaceballs,features the organization,Mercedes
m/hot_tub_time_machine,features the theme,political incorrectness
m/dumb_and_dumber,features the theme,the gala
m/hot_tub_time_machine,features the theme,a fork
m/spaceballs,features the theme,blazing saddles
m/dumb_and_dumber,features the theme,the suite
m/spaceballs,features the theme,the same vein
m/terminator,features the theme,punk
m/demolition_man,features the theme,intense action
m/dumb_and_dumber,features the theme,roommates
m/hot_tub_time_machine,features the theme,clever plotting
m/terminator,features the theme,a stroke of genius
m/hot_tub_time_machine,features the theme,his backpack
m/dumb_and_dumber,features the theme,a gala
m/dumb_and_dumber,features the person,John Belushi
m/hot_tub_time_machine,features the theme,pink
m/hot_tub_time_machine,features the theme,a smart comedy
m/hot_tub_time_machine,features the theme,manic energy
m/terminator,features the theme,the final confrontation
m/spaceballs,features the person,Sand
m/hot_tub_time_machine,features the theme,goodies
m/terminator,features the theme,science fiction cinema
m/hot_tub_time_machine,features the person,Crispin Glover
m/dumb_and_dumber,is,remiss
m/hot_tub_time_machine,features the theme,their new lives
m/terminator,features the theme,the best action movies
m/hot_tub_time_machine,features the theme,great comedy
m/terminator,is,cyborg
m/dumb_and_dumber,features the theme,the adult world
m/demolition_man,is,pacifist
m/hot_tub_time_machine,features the person,Rob Corddry
m/spaceballs,features the theme,real bite
m/demolition_man,features the theme,personal freedom
m/demolition_man,features the miscellaneous theme,Last Action Hero
m/hot_tub_time_machine,features the theme,the profanity
m/demolition_man,features the theme,their disposal
m/hot_tub_time_machine,is,mic
m/hot_tub_time_machine,features the organization,DeLorean
m/spaceballs,is,unforgiveable
m/hot_tub_time_machine,features the theme,this raunchy
m/dumb_and_dumber,features the theme,the hotel bar
m/hot_tub_time_machine,is,nutso
m/spaceballs,features the person,Dot
m/terminator,features the theme,pretention
m/demolition_man,features the theme,a great villain
m/hot_tub_time_machine,features the miscellaneous theme,Hot Tub Time Machine
m/hot_tub_time_machine,features the theme,a hot tub
m/spaceballs,features the theme,his sense of humor
m/dumb_and_dumber,features the miscellaneous theme,The Mask
m/demolition_man,features the theme,your preconceptions
m/terminator,features the theme,its claim
m/hot_tub_time_machine,features the person,Craig Robinson
m/demolition_man,features the theme,several guards
m/terminator,features the theme,the terminator
m/hot_tub_time_machine,features the theme,a comic genius
m/dumb_and_dumber,features the theme,memorable scenes
m/terminator,features the theme,the tanker
m/spaceballs,features the miscellaneous theme,Spaceballs
m/terminator,is,hydraulic
m/hot_tub_time_machine,features the theme,tired gags
m/hot_tub_time_machine,features the theme,the gross-out humor
m/terminator,features the theme,its niche
m/dumb_and_dumber,features the theme,rudeness
m/hot_tub_time_machine,features the theme,a badge of honor
m/terminator,features the theme,the havoc
m/hot_tub_time_machine,features the theme,a jacuzzi
m/dumb_and_dumber,features the miscellaneous theme,Dumb & Dumber
m/hot_tub_time_machine,features the theme,its r-rating
m/spaceballs,features the person,Space
m/terminator,features the theme,the movie adaptation
m/dumb_and_dumber,features the person,Near
m/hot_tub_time_machine,features the theme,projectile vomiting
m/demolition_man,features the theme,terrible acting
m/spaceballs,features the theme,his expenses
m/terminator,features the organization,Skynet
m/hot_tub_time_machine,features the miscellaneous theme,Caligula
m/spaceballs,features the theme,the star wars series
m/terminator,features the theme,a nuclear holocaust
m/spaceballs,features the miscellaneous theme,Space
m/demolition_man,is,uncivilized
m/hot_tub_time_machine,features the theme,few viewers
m/hot_tub_time_machine,features the theme,its own mediocrity
m/demolition_man,features the theme,cheap gags
m/dumb_and_dumber,features the theme,tag
m/terminator,is,sequitur
m/dumb_and_dumber,features the theme,the comedy genre
m/hot_tub_time_machine,features the theme,whose sole purpose
m/hot_tub_time_machine,features the theme,a nearby home
m/spaceballs,features the theme,dot
m/demolition_man,features the person,Andrew Dice Clay
m/hot_tub_time_machine,is,slob
m/terminator,features the theme,this sci-fi thriller
m/terminator,features the theme,the incredible hulk
m/spaceballs,features the theme,most jokes
m/terminator,features the person,Sarah Connor
m/spaceballs,is,consiga
m/hot_tub_time_machine,features the miscellaneous theme,Weird Science
m/hot_tub_time_machine,features the person,Iggy Pop
m/terminator,features the person,Terminator
m/terminator,features the miscellaneous theme,T2
m/spaceballs,features the person,Starr
m/dumb_and_dumber,features the person,Shay
m/hot_tub_time_machine,features the theme,a clever
m/terminator,features the theme,his pecs
m/hot_tub_time_machine,features the person,Corddry
m/demolition_man,features the theme,both the script
m/hot_tub_time_machine,features the theme,snakes on a plane
m/demolition_man,features the theme,high-octane action
m/hot_tub_time_machine,features the theme,the drink
m/terminator,features the theme,skynet
m/dumb_and_dumber,is,ingnuo
m/hot_tub_time_machine,features the theme,our resistance
m/demolition_man,features the theme,flying bullets
m/hot_tub_time_machine,features the theme,many jokes
m/hot_tub_time_machine,features the theme,any expectations
m/demolition_man,features the person,Huxley
m/demolition_man,features the theme,skirmishes
m/hot_tub_time_machine,features the theme,comedy genius
m/dumb_and_dumber,features the theme,ransom money
m/hot_tub_time_machine,features the theme,trends
m/hot_tub_time_machine,features the theme,vulgarities
m/demolition_man,features the theme,some amusing bits
m/dumb_and_dumber,features the person,Lauren Holly
m/demolition_man,features the theme,last action hero
m/demolition_man,features the theme,the nineties
m/hot_tub_time_machine,features the theme,kind of a shame
m/spaceballs,features the theme,a nearby planet
m/dumb_and_dumber,features the theme,this entire film
m/hot_tub_time_machine,features the theme,inhibition
m/hot_tub_time_machine,features the theme,a dip
m/terminator,features the theme,t2
m/hot_tub_time_machine,features the theme,a serious disappointment
m/hot_tub_time_machine,features the miscellaneous theme,Tube
m/demolition_man,features the location,Santa Barbara
m/hot_tub_time_machine,features the theme,the console
m/hot_tub_time_machine,features the theme,a balls to the-wall
m/hot_tub_time_machine,features the miscellaneous theme,Adventure
m/dumb_and_dumber,features the location,Aspen
m/hot_tub_time_machine,features the miscellaneous theme,Future
m/hot_tub_time_machine,features the miscellaneous theme,Borscht Belt
m/terminator,is,musclebound
m/hot_tub_time_machine,features the theme,alf
m/demolition_man,features the theme,the scraps
m/hot_tub_time_machine,features the organization,Poison
m/hot_tub_time_machine,features the theme,wild hogs
m/hot_tub_time_machine,features the theme,male nudity
m/spaceballs,features the theme,the ship explodes
m/demolition_man,features the theme,diseases
m/hot_tub_time_machine,features the organization,Replacements
m/spaceballs,features the theme,spaceballs
m/spaceballs,features the theme,funny movies
m/dumb_and_dumber,features the theme,laxatives
m/hot_tub_time_machine,features the theme,childish men
m/terminator,features the theme,cheap tactics
m/dumb_and_dumber,features the theme,lauren holly
m/terminator,features the person,Kyle Reese
m/dumb_and_dumber,features the theme,lowbrow comedies
m/hot_tub_time_machine,features the theme,lazy comedy
m/spaceballs,features the theme,helmet
m/dumb_and_dumber,features the theme,punching bags
m/dumb_and_dumber,features the person,Harry Dunne
m/hot_tub_time_machine,features the person,Lizzy Caplan
m/dumb_and_dumber,features the person,Lloyd Christmas
m/hot_tub_time_machine,features the theme,their tasks
m/spaceballs,features the theme,the overkill
m/hot_tub_time_machine,features the theme,outrageous humor
m/spaceballs,features the person,Schwartz
m/hot_tub_time_machine,features the person,Steve Pink
m/spaceballs,features the person,Moranis
m/spaceballs,features the theme,the vacuum
m/hot_tub_time_machine,features the theme,a huge laugh
m/terminator,features the theme,living tissue
m/hot_tub_time_machine,features the theme,tough going
m/terminator,features the person,Incredible Hulk
m/hot_tub_time_machine,features the theme,a dead-end job
m/terminator,features the theme,film violence
m/hot_tub_time_machine,features the theme,a groupie
m/hot_tub_time_machine,features the theme,all the vulgarity
m/terminator,features the theme,a tank truck
m/terminator,features the theme,a photograph of her
m/hot_tub_time_machine,features the miscellaneous theme,Machine
m/terminator,features the theme,very little dialogue
m/hot_tub_time_machine,features the miscellaneous theme,Choose Your Own Adventure
m/spaceballs,features the person,Blazing Saddles
m/spaceballs,features the theme,the best shot
m/hot_tub_time_machine,features the person,Blaine
m/hot_tub_time_machine,features the theme,investments
m/spaceballs,features the miscellaneous theme,Winnebago
m/hot_tub_time_machine,features the theme,your destiny
m/hot_tub_time_machine,features the theme,some variety
m/spaceballs,is,calculating
m/spaceballs,features the theme,the hutt
m/hot_tub_time_machine,features the theme,infrastructure
m/spaceballs,features the theme,whose act
m/hot_tub_time_machine,features the theme,a vortex
m/dumb_and_dumber,features the theme,bikini girls
m/hot_tub_time_machine,features the theme,a triple threat
m/demolition_man,features the person,Cocteau
m/hot_tub_time_machine,is,pub
m/demolition_man,features the theme,big-budget action
m/terminator,features the theme,cameron
m/hot_tub_time_machine,is,tub
m/hot_tub_time_machine,features the theme,the offset
m/terminator,features the theme,his limited range
m/demolition_man,features the theme,utopia
m/hot_tub_time_machine,features the theme,the thin premise
m/dumb_and_dumber,features the theme,etiquette
m/demolition_man,features the theme,a very solid effort
m/hot_tub_time_machine,features the theme,older viewers who grew
m/demolition_man,features the theme,a sly sense of humour
m/dumb_and_dumber,features the theme,the teaming
m/hot_tub_time_machine,features the theme,a cracking soundtrack
m/spaceballs,features the theme,a bumper sticker
m/terminator,features the theme,the verge of victory
m/demolition_man,features the theme,access codes
m/demolition_man,features the theme,friendly
m/hot_tub_time_machine,features the theme,the way things are
m/hot_tub_time_machine,features the theme,the butterfly effect
m/terminator,features the theme,a classic for the ages
m/hot_tub_time_machine,features the theme,a chemical
m/hot_tub_time_machine,features the theme,a casting error
m/terminator,features the theme,the end of both movies
m/demolition_man,features the theme,museum exhibits
m/hot_tub_time_machine,features the theme,a certified star
m/terminator,features the theme,audio tapes
m/hot_tub_time_machine,features the theme,baby-boomers
m/hot_tub_time_machine,features the theme,cool music
m/hot_tub_time_machine,features the theme,the movie bops
m/hot_tub_time_machine,features the theme,the movie %
m/hot_tub_time_machine,features the theme,any sense of wit
m/demolition_man,features the theme,some clever set-piece chases
m/terminator,features the theme,a genre unto itself
m/hot_tub_time_machine,features the theme,the mid-80
m/demolition_man,features the theme,sense of irony
m/spaceballs,features the theme,search of laughs
m/hot_tub_time_machine,features the theme,a host of familiar faces
m/demolition_man,features the theme,a resistance group
m/hot_tub_time_machine,features the theme,such a thin premise
m/dumb_and_dumber,features the theme,pedestrian slapstick
m/hot_tub_time_machine,features the theme,a feature length comedy
m/hot_tub_time_machine,features the theme,a screwball farce
m/terminator,features the theme,an extraordinary swell of emotion
m/terminator,features the theme,a pipe bomb
m/demolition_man,features the theme,a parole hearing
